Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
SMCCD,"CSM 1
CSM 2
CSM 3",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,3401 Csm Dr,San Mateo,CA,94402,"(37.530782, -122.337949)"
San Mateo Caltrain Station,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,2,4,eVgo Network,https://www.evgo.com/,,,385 1st Ave,San Mateo,CA,94401,"(37.567503, -122.323784)"
PUBLIC CHARGERS,CITY HALL; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1901-1941 O'Farrell St,San Mateo,CA,94403,"(37.5481213, -122.3150743)"
Facebook - Building 25,,888-998-2546,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,Blink Network,http://www.blinkcharging.com/,,,180 Jefferson Dr.,Menlo Park,CA,94025,"(37.480997, -122.169997)"
CCSF - SFO,"SFO INT LOT A-4; International Parking Garage A Level 7
SFO INT LOT A-5; International Parking Garage A Level 7",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco International Airport International Parking Garage A,San Francisco,CA,94128,"(37.6141309, -122.3915951)"
Palo Alto Technology Center,,,Private,For tenant use only,,6,,Non-Networked,,11/15/2017,,1810 Embarcadero Rd,Palo Alto,CA,94303,"(37.450532, -122.114855)"
Oyster Point Office Building,,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,5,,Blink Network,http://www.blinkcharging.com/,,,343 Oyster Point Boulevard,South San Francisco,CA,94080,"(37.66515, -122.389663)"
FACEBOOK,"MPK 18 FC-1; -
MPK 18-5",888-758-4389,Public,24 hours daily,,2,2,ChargePoint Network,http://www.chargepoint.com/,,,18 Hacker Way,Menlo Park,CA,94025,"(37.484438, -122.150699)"
BAYSHORE TECH,"1600 BRDG PKY 3
1600 BRIDGE (2); -
1600 BRIDGE 4; -
1600 BRIDGE 5; -
1600 BRIDGE PKY; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,1600 Bridge Pkwy,Redwood City,CA,94065,"(37.536576, -122.258393)"
FACEBOOK,"MPK 20 FC-Z3-1; -
MPK 20-10
MPK 20-11
MPK 20-12
MPK 20-13
MPK 20-14; -
MPK 20-15
MPK 20-16
MPK 20-17
MPK 20-18
MPK 20-19
MPK 20-1; -
MPK 20-20
MPK 20-2; -
MPK 20-3; -
MPK 20-4; -
MPK 20-5; -
MPK 20-6; -
MPK 20-7; -
MPK 20-8; -
MPK 20-9
MPK 21 10; MPK21 Garage East of Lobby 9
MPK 21 11; MPK21 Garage East of Lobby 9
MPK 21 12; MPK21 Garage East of Lobby 9
MPK 21 13; MPK21 Garage East of Lobby 9
MPK 21 14; MPK21 Garage East of Lobby 9
MPK 21 15; MPK21 Garage East of Lobby 9
MPK 21 16; MPK21 Garage East of Lobby 9
MPK 21 17; MPK21 Garage East of Lobby 9
MPK 21 18; MPK21 Garage East of Lobby 9
MPK 21 19; MPK21 Garage East of Lobby 9
MPK 21 1; East side of MPK21 Garage
MPK 21 20; MPK21 Garage East of Lobby 9
MPK 21 21; MPK21 Garage East of Lobby 9
MPK 21 22; East of Lobby 9
MPK 21 23; MPK21 Garage East of Lobby 9
MPK 21 24; MPK21 Garage East of Lobby 9
MPK 21 25; MPK21 Garage East of Lobby 9
MPK 21 26; MPK21 Garage East of Lobby 9
MPK 21 27; East of Lobby 6
MPK 21 28; MPK21 East of Lobby 6
MPK 21 29; MPK21 Garage East of Lobby 9
MPK 21 2; East side of MPK21 Garage
MPK 21 30; MPK21 Garage East of Lobby 9
MPK 21 3; East side of MPK21 Garage
MPK 21 4; MPK21 Garage South East of Lobby 6
MPK 21 5; MPK21 Garage South East of Lobby 6
MPK 21 6; MPK21 Garage South East of Lobby 6
MPK 21 7; MPK21 Garage South East of Lobby 6
MPK 21 8; MPK21 Garage South East of Lobby 6
MPK 21 9; MPK21 Garage East of Lobby 9
MPK 21 FC 1; East of Lobby 9
MPK 21 FC 2; East of Lobby 9
MPK 21 FC 3; East of lobby 9
MPK 21 FC 4; East of Lobby 9
MPK 21 FC 5; East of lobby 8
MPK 21 FC 6; East of Lobby 8",888-758-4389,Public,24 hours daily,,100,14,ChargePoint Network,http://www.chargepoint.com/,,,1 Facebook Way,Menlo Park,CA,94025,"(37.481159, -122.154442)"
BMW PETER PAN,STATION DC200; -,888-758-4389,Public,24 hours daily,,,1,ChargePoint Network,http://www.chargepoint.com/,,,1625 Adrian Rd,Burlingame,CA,94010,"(37.5969, -122.373812)"
FACEBOOK,"MPK 46-1; -
MPK 46-2; -
MPK 46-3; -
MPK 46-5; -
MPK 46-6; -
MPK 46-7; -
MPK 46G-4; -",888-758-4389,Public,24 hours daily,,14,,ChargePoint Network,http://www.chargepoint.com/,,,1005 Hamilton Ave MPK 46,Menlo Park,CA,94025,"(37.4787551, -122.1479244)"
CCSF - SFO,SFO LOT C-2; Domestic Parking Garage Level 1 Section C,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco International Airport Domestic Garage,South San Francisco,CA,94128,"(37.6159112, -122.3851667)"
South San Francisco - Miller Garage HPCP Array 1,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,,6,eVgo Network,https://www.evgo.com/,,,329 Miller Ave,South San Francisco,CA,94080,"(37.656204, -122.411246)"
BAYSHORE TECH,3600 BRIDGE PKY; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,3600 Bridge Pkwy,Redwood City,CA,94065,"(37.5369736, -122.2540527)"
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,,120  Golden Hills Dr,Portola Valley,CA,94028,"(37.391028, -122.218063)"
BMW GROUP,"SKYPARK 2; Free Charging, indoor valet parking fees apply
SKYPARK 3; -Free Charging, indoor valet parking fees apply
SKYPARK 4; Free Charging, indoor valet parking fees apply
SKYPARK 5; Free Charging, indoor valet parking fees apply",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,1000 San Mateo Ave,San Bruno,CA,94080,"(37.634933, -122.4096)"
4700 BOHANNON,4700 BOHANNON; Located outside of the front entrance of 4700 Bohannon,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,4700 Bohannon Dr,Menlo Park,CA,94025,"(37.4795431, -122.1749536)"
MENLO PARK,PARKINGPLAZA2 2; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1148 Crane St,Menlo Park,CA,94025,"(37.4517774, -122.1859032)"
CITY OF REDWOOD,VETERANS BLDING; Near front entrance,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,799 St Francis St,Redwood City,CA,94061,"(37.4719595, -122.2399898)"
STANFORD,RWC L3 3,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,2858 Bay Rd,Redwood City,CA,94063,"(37.4836513, -122.2037542)"
ESSEX,"PARK GREEN 01; Second level garage
PARK GREEN 02; 3rd floor parking garage
PARK GREEN 03; 4th floor parking garage
PARK GREEN 5; 3rd floor parking garage",888-758-4389,Public,24 hours daily,,8,,ChargePoint Network,http://www.chargepoint.com/,,,430 Station Park Circle,San Mateo,CA,94402,"(37.554485, -122.30737)"
MENLO PARK,PARKINGPLAZA2 1; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1198 Crane St,Menlo Park,CA,94025,"(37.4518221, -122.1860561)"
Lucky,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,1,4,eVgo Network,https://www.evgo.com/,,,6843 Mission St,Daly City,CA,94014,"(37.698288, -122.463339)"
601 MARSHALL,STATION 5,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,601 Marshall,Redwood City,CA,94063,"(37.4876961, -122.2288886)"
Britannia Oyster Point Business Plaza,Located outside of the parking garage,888-998-2546,Public,MON: 5:00am-8:00pm | TUE: 5:00am-8:00pm | WED: 5:00am-8:00pm | THU: 5:00am-8:00pm | FRI: 5:00am-8:00pm | SAT: 6:00am-6:00pm | SUN: 6:00am-6:00pm,,,2,Blink Network,http://www.blinkcharging.com/,,,1110 Veterans Boulevard,South San Francisco,CA,94080,"(37.664328, -122.390915)"
CAN,"CAN LOT 1 ST2; -
CAN LOT 1 ST3; Canada Lot 1
CAN LOT 1 ST4; -
CAN LOT 2 ST2; Canada Lot 2",888-758-4389,Public,24 hours daily,,8,,ChargePoint Network,http://www.chargepoint.com/,,,Campus Cir,Redwood City,CA,94061,"(37.4488826, -122.2646556)"
Super 8 San Bruno /SF Intl Arpt West - Tesla Destination,,650-624-0999  877-798-3752,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,,421 El Camino Real,San Bruno,CA,94066,"(37.621822, -122.412259)"
CAN,CAN LOT 2 ST1; North West Corner of Lot 2,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,Cañada College 4200 Farm Hill Dr.,Redwood City,CA,94061,"(37.4485868, -122.2646387)"
Gateway Blvd,,800-663-5633,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,2,,SemaCharge Network,http://www.semacharge.com/,,,"601 Gateway Boulevard, Suite 930",South San Francisco,CA,94080,"(37.65831, -122.399556)"
EV CHARGER,HOTEL LUCENT,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,727 El Camino Real,Menlo Park,CA,94025,"(37.4514525, -122.1793225)"
San Francisco Airport - Marriott Waterfront,,650-692-9100,Public,24 hours daily; guest use only; see valet for access,,4,,Non-Networked,,07/20/2011,,1800 Old Bayshore Hwy,Burlingame,CA,94010,"(37.6023496, -122.3706759)"
Half Moon Bay Distillery - Tesla Destination,,650-477-5131  877-798-3752,Public,24 hours daily; for Tesla use only,,1,,Tesla Destination,https://www.tesla.com/destination-charging,03/01/2019,,103 Harvard Ave #4,Half Moon Bay,CA,94019,"(37.503309, -122.493891)"
ACTELION,"AREUS 1; -
AREUS 2; -",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,5000 Shoreline Ct,South San Francisco,CA,94080,"(37.669887, -122.388425)"
PRIVATE GNE,"PS B NEW 1; located on first floor 
PS B NEW 2; On first floor
PS B NEW 3; On first floor
PS B NEW 4; located on the first floor
PS B NEW 5; located on first floor
PS B NEW 6; Located on first floor
PS B NEW 7; On first floor 
PS-B-1; NO PUBLIC ACCESS - Genentech parking stucture across from B45
PS-B-2; NO PUBLIC ACCESS - Genentech Parking structure across from B45",888-758-4389,Private,24 hours daily,,16,,ChargePoint Network,http://www.chargepoint.com/,,,625 E Grand Ave,South San Francisco,CA,94080,"(37.650246, -122.382565)"
METRO TOWER,"989 E HILSDLE 3; Parking area 
989 E HLDSLE 2; Parking area 
989 E HLSDLE 1; Parking area",888-758-4389,Public,24 hours daily,,5,,ChargePoint Network,http://www.chargepoint.com/,,,Portal Ln,Foster City,CA,94404,"(37.5575532, -122.2735657)"
HUDSON 333 TWIN,STATION 2,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,333 Twin Dolphin Dr,Redwood City,CA,94065,"(37.5224707, -122.2576166)"
CITY OF REDWOOD,"DOWNTOWNCINEMA1
DOWNTOWNCINEMA2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,2107 Broadway,Redwood City,CA,94063,"(37.486378, -122.228374)"
San Francisco Airport Marriott Waterfront - Tesla Destination,,650-692-9100  877-798-3752,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,1,,Tesla Destination,https://www.tesla.com/destination-charging,07/20/2011,,1800 Old Bayshore Hwy,Burlingame,CA,94010,"(37.601820000000004, -122.370071)"
HUDSON 555 TWIN,"555 STATION 1; -
555 STATION 2; -",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,555 Twin Dolphin Dr,Redwood City,CA,94065,"(37.520592, -122.255907)"
600 HARRISON,PENLARK #1; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,2855 Campus Dr,San Mateo,CA,94403,"(37.536796, -122.3257083)"
SFPCU,"2ND FLOOR 1
2ND FLOOR 2",888-758-4389,Public,24 hours daily,,3,,ChargePoint Network,http://www.chargepoint.com/,,,Unnamed Road,San Bruno,CA,94066,"(37.6297699, -122.4234706)"
Edgewood Plaza,"Facing W Bayshore Rd next to the 
Edgewood Shopping Center sign",888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,2,Blink Network,http://www.blinkcharging.com/,,,2050 Channing Way,Palo Alto,CA,94303,"(37.447926, -122.125627)"
ORACLE RWSHORE,"DTECH 1
DTECH 2",888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,275 Oracle Pkwy,Redwood City,CA,94065,"(37.532659, -122.26382)"
Target - Tesla Supercharger,,877-798-3752,Public,24 hours daily; for Tesla use only,,,12,Tesla,http://www.teslamotors.com/supercharger,07/23/2018,,2220 Bridgepointe Pkwy,San Mateo,CA,94404,"(37.561888, -122.282002)"
SHR CHARGEPOINT,"STATION 1; North side of parking lot
STATION 2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,2200 Sand Hill Rd,Menlo Park,CA,94025,"(37.422876, -122.199368)"
ELAN MENLO PARK,"A5; Residents only
A6; -
B7; Residents only
B8; Residents only
C10; Residents only
C9; -
H33; Residents only
L61; Residents only
M66; Residents only
SPACE 48; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,3465 Haven Ave,Menlo Park,CA,94025,"(37.4859487, -122.1833772)"
CCSF - SFO,"SFO LTP 1K.1; -
SFO LTP 1K.2; -
SFO LTP 1K.3; -
SFO LTP 1K.40; -
SFO LTP 1K.4; -
SFO LTP 1K.5G; -
SFO LTP 1K.6; -
SFO LTP 1K.7; -
SFO LTP 1K.8; -
SFO LTP 1K.9; -
SFO LTP 1L.41G; -
SFO LTP 1L.42; -
SFO LTP 2K.1; -
SFO LTP 2K.2; -
SFO LTP 2K.3; -
SFO LTP 2K.4; -
SFO LTP 2K.5G; -
SFO LTP 2K.6; -
SFO LTP 2K.7; -
SFO LTP 2K.8; -
SFO LTP 2K.9; -
SFO LTP 3K.1; -
SFO LTP 3K.2; -
SFO LTP 3K.3; -
SFO LTP 3K.4; -
SFO LTP 3K.5G; -
SFO LTP 3K.6; -
SFO LTP 3K.7; -
SFO LTP 3K.8; -
SFO LTP 3K.9; -
SFO LTP 4K.1; -
SFO LTP 4K.2; -
SFO LTP 4K.3; -
SFO LTP 4K.4; -
SFO LTP 4K.5G; -
SFO LTP 4K.6; -
SFO LTP 4K.7; -
SFO LTP 4K.8; -
SFO LTP 4K.9; 4th floor 
SFO LTP 5K.1; -
SFO LTP 5K.2; -
SFO LTP 5K.3; -
SFO LTP 5K.4; -
SFO LTP 5K.5G; -
SFO LTP 5K.6; -
SFO LTP 5K.7; -
SFO LTP 5K.8; -
SFO LTP 5K.9; -
SFO LTP 6K.1G; -
SFO LTP 6K.2; -
SFO LTP 6K.3; -
SFO LTP 6K.4; -
SFO LTP 6K.5G; -
SFO LTP 6K.6; -
SFO LTP 6K.7; -
SFO LTP 6K.8; -
SFO LTP 6K.9; -",888-758-4389,Public,24 hours daily,,111,,ChargePoint Network,http://www.chargepoint.com/,,,806 S Airport Blvd,San Francisco,CA,94128,"(37.6356728, -122.4013082)"
THE COVE EV,"151 OYSTER 1; Building 3
151 OYSTER 2; Building 3
151 OYSTER 3; Building 3
151 OYSTER 4; Official address will be 151 Oyster Point Blvd",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,151 Oyster Point Blvd,South San Francisco,CA,94080,"(37.663627, -122.394303)"
Hotel Focus SFO,The stations are located on the left side of the building.,800-663-5633,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,2,,SemaCharge Network,http://www.semacharge.com/,,,111 Mitchell Avenue,South San Francisco,CA,94080,"(37.6496413, -122.4042951)"
CITY OF REDWOOD,RED MORTON RGHT,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1120 Roosevelt Ave,Redwood City,CA,94061,"(37.4723387, -122.2353442)"
HMB,MIRAMONTES ST,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,604 Main St,Half Moon Bay,CA,94019,"(37.4625656, -122.4296233)"
CAN,CAN LOT 1 ST1,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,4200 Farm Hille BLVD,Redwood City,CA,94061,"(37.4487816, -122.2647608)"
Four Seasons Hotel Silicon Valley,See valet attendant to charge.,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,Blink Network,http://www.blinkcharging.com/,,,2050 University Ave.,East Palo Alto,CA,94303,"(37.46038, -122.14228)"
FACEBOOK,MPK 15-5; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,15 Hacker Way Building 15,Menlo Park,CA,94025,"(37.4839153, -122.1476857)"
San Carlos Library,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,1,4,eVgo Network,https://www.evgo.com/,,,610 Elm St,San Carlos,CA,94070,"(37.503611, -122.2625)"
BRISBANEVILLAGE,BRISBANEVILLAGE; -,888-758-4389,Public,24 hours daily,,,2,ChargePoint Network,http://www.chargepoint.com/,,,108 Old County Rd,Brisbane,CA,94005,"(37.6857101, -122.3995539)"
Serramonte Center - Tesla Supercharger,,877-798-3752,Public,24 hours daily; for Tesla use only,,,40,Tesla,http://www.teslamotors.com/supercharger,10/01/2018,,3 Serramonte Center,Daly City,CA,94015,"(37.673993, -122.472065)"
CCSF - SFO,SFO INT LOT G12; International Parking Garage G Level 7,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco International Airport International Parking Garage G,Millbrae,CA,94030,"(37.6154248, -122.3931588)"
SAN MATEO CNTY,"CC - PUBLIC #1; County Center Garage
CC - PUBLIC #2; County Center Garage
CC - PUBLIC #3; -",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,400-470 Middlefield Road County Center Garage,Redwood City,CA,94063,"(37.4888766, -122.2297743)"
HMB,HMB-CORREAS ST; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,620 Correas St,Half Moon Bay,CA,94019,"(37.4615066, -122.431194)"
Menlo College,Enter on Encinal Ave from El Camino and turn left immediately into parking lot; chargers on left side,800-556-5054,Public,24 hours daily,4,2,,Non-Networked,,11/15/2017,,1000 El Camino Real,Atherton,CA,94027,"(37.458145, -122.194842)"
CITY OF REDWOOD,PUBLIC WORKS; IN BACK OF PARKING LOT,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1400 Broadway,Redwood City,CA,94063,"(37.4875914, -122.2161394)"
FACEBOOK,MPK 16-1; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way Building 16,Menlo Park,CA,94025,"(37.4859723, -122.1487916)"
CCSF - SFO,"SFO LOT A-1; Domestic Garage Level 1 Section A/B
SFO LOT A-2; Domestic Garage Level 1 Section A/B
SFO LOT A-3; Domestic Garage Level 1 Section A-B
SFO LOT A-4; Domestic Garage Level 1 Section A-B
SFO LOT A-5; Domestic Garage Level 1 Section A-B
SFO LOT A-6; Domestic Garage Level 1 Section A/B
SFO LOT B-3; Domestic Garage Level 1 Section B
SFO LOT C-1; Domestic Parking Garage Level 1 Section C
SFO LOT C-3; Domestic Garage Level 1 Section C
SFO LOT C-4; Domestic Garage Level 1 Section C
SFO LOT C-5; Domestic Garage Level 1 Section C
SFO LOT C-6; Domestic Parking Garage Level 1 Section C
SFO LOT D-1; Domestic Garage Level 1 Section D
SFO LOT D-2; Domestic Garage Level 1 Section D
SFO LOT D-3; Domestic Garage Level 1 Section D
SFO LOT E-1; Domestic Garage Level 1 Section E
SFO LOT E-2; Domestic Garage Level 1 Section E
SFO LOT E-3; Domestic Garage Level 1 Section E
SFO LOT E-4; Domestic Garage Level 1 Section E
SFO LOT E-5; Domestic Garage Level 1 Section E
SFO LOT E-6; Domestic Garage Level 1 Section E
SFO LOT F-10; Domestic Garage Level 1 Section F
SFO LOT F-11; Domestic Garage Level 1 Section F
SFO LOT F-12; Domestic Garage Level 1 Section F
SFO LOT F-13; Domestic Garage Level 1 Section F
SFO LOT F-14; Domestic Garage Level 1 Section F
SFO LOT F-3; Domestic Garage Level 1 Section F
SFO LOT F-4; Domestic Garage Level 1 Section F
SFO LOT F-5; Domestic Garage Level 1 Section F
SFO LOT F-6; Domestic Garage Level 1 Section F
SFO LOT F-7; Domestic Garage Level 1 Section F
SFO LOT F-8; Domestic Garage Level 1 Section F
SFO LOT F-9; Domestic Garage Level 1 Section F
SFO LOT G-1; Domestic Garage Level 1 Section F-G
SFO LOT G-2; Domestic Garage Level 1 Section F-G",888-758-4389,Public,24 hours daily,,70,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco International Airport Domestic Garage,San Francisco,CA,94128,"(37.6171383, -122.3854539)"
Audi - Palo Alto,Located to the right of the service entrance,833-830-1068,Public,"9am-7pm M-Sat, 10am-6pm Sun; for customer use only",,1,,Non-Networked,,11/15/2017,,1730 Embarcadero Rd,Palo Alto,CA,94303,"(37.449726, -122.118056)"
JEFFERSON,JESD 1; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,101 Lincoln Ave,Daly City,CA,94015,"(37.678723, -122.4844253)"
FACEBOOK,"MPK 57 FC-1; -
MPK 57 FC-2; -
MPK 57 FC-3; -
MPK 57 FC-4; -
MPK 57 FC-5; -
MPK 57 FC-6; -
MPK 57 FC-7; -",888-758-4389,Public,24 hours daily,,,14,ChargePoint Network,http://www.chargepoint.com/,,,1350 CA-114,Menlo Park,CA,94025,"(37.477037, -122.15164)"
Park 'N Fly,,650-877-8438,Public,24 hours daily; must valet park,2,,,Non-Networked,,04/01/2015,,160 Produce Ave S,San Francisco,CA,94080,"(37.647798, -122.407022)"
TOWNSHIP,"STATION 1
STATION 2",888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,333 Main St,Redwood City,CA,94063,"(37.491814, -122.227116)"
SG MENLO PARK,"01SGGARAGE2G; Second floor of garage. Entry off Sharon Rd. 
02SGGARAGE2NG; Second floor of garage. Entry off Sharon Rd. 
03SGGARAGE2NG; Second floor of garage. Entry off Sharon Rd.
04SGGARAGE2NG; Second floor of garage. Entry off Sharon Rd. 
05SGGARAGE2NG; Second floor of garage. Entry off Sharon Rd.",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,350 Sharon Rd,Menlo Park,CA,94025,"(37.4253168, -122.1983745)"
SMCCD,"CSM LOT 5 EV_2; On the south side of Lot 5
CSM LOT 5 EV_3; South side of lot 5
CSM LOT 5 ST 1; On the south side of Lot 5",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,1700 West Hillsdale Blvd Marie Curie Lot 5,San Mateo,CA,94402,"(37.531883, -122.333402)"
CCSF - SFO,"SFO INT LOT G-1; International Parking Garage G Level 1
SFO INT LOT G-2; International Parking Garage G Level 3
SFO INT LOT G-3; International Parking Garage G Level 3
SFO INT LOT G-5; International Parking Garage G Level 1
SFO INT LOT G-6; International Parking Garage G Level 7
SFO INT LOT G-7; International Parking Garage G Level 7
SFO INT LOT G-8; International Parking Garage G Level 7",888-758-4389,Public,24 hours daily,,14,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco International Airport International Parking Garage G,San Francisco,CA,94128,"(37.6154886, -122.3930166)"
MPCSD,OAK KNOLL; Located behind security gate,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1895 Oak Knoll Lane,Menlo Park,CA,94025,"(37.431149, -122.1915369)"
BRISBANE MARINA,JAMES R. CORR; LOCATED IN MAIN LOT ACROSS FROM THE HARBOR MASTER'S OFFICE,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,400 Sierra Point Pkwy,Brisbane,CA,94005,"(37.6733629, -122.3816357)"
SMCCD,"LOT S; Lot S, at Building 4
SKY LOT L EV_1; Parking Lot L 
SKY LOT L EV_2; Parking Lot L
SKY LOT L EV_3; Parking Lot L
SKY LOT L EV_4; Parking Lot L
SKY LOT L EV_5; Parking Lot L
SKY LOT L EV_6; Parking Lot L
SKY LOT L EV_7; Parking Lot L
SKY LOT L EV_8; Parking Lot L",888-758-4389,Public,24 hours daily,,17,,ChargePoint Network,http://www.chargepoint.com/,,,3300 College Dr,San Bruno,CA,94066,"(37.632243, -122.464268)"
960 SANANTONIO,EV STATION 01; 960 San Antonio Parking Lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,960 San Antonio Rd,Palo Alto,CA,94303,"(37.4241574, -122.1009276)"
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,,700  Bair Island Rd,Redwood City,CA,94063,"(37.4983952, -122.2230339)"
IKEA - East Palo Alto,Located on ground floor near isle K row,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinkcharging.com/,,,1700 E. Bayshore Rd,Palo Alto,CA,94303,"(37.460995, -122.138388)"
FACEBOOK,"MPK 27 FC-1; At back of Building - Charger faces Building
MPK 27 FC-2; Facing highway 101
MPK 27-1; -
MPK 27-2; -
MPK 27-3; -
MPK 27-4; -",888-758-4389,Public,24 hours daily,,8,4,ChargePoint Network,http://www.chargepoint.com/,,,162 Jefferson Dr. MPK 27,Menlo Park,CA,94025,"(37.480364, -122.172807)"
BURLINGAME,LOT V 2; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1051-1099 North Ln,Burlingame,CA,94010,"(37.5800509, -122.3453136)"
City of Millbrae - Broadway,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,,6,eVgo Network,https://www.evgo.com/,,,446 Broadway,Millbrae,CA,94030,"(37.602235, -122.392945)"
